OBJECTID,ID_NOM,ID_TAXON,ID_ARBRE,CLASSE,NOM_LATIN,NOM_COM_GE,NOM_COMMUN,NOM_COM_RE,DIAM_1M,DIAM_COURO,HAUTEUR_TO,REMARQUABL,CHAMPION,INT_PHENO,STATUT,ADR_URL,COMMUNE,NO_POSTAL,CIRCONFERENCE,DATE_OBSERVATION,E,N
176565,13998,37435,201669,Conifères,Sequoiadendron,Séquoia,Séquoia,"Séquoia, Séquoia géant pleureur",136.0,12.0,25.0,,0,,Relevé,https://www.patrimoine-vert-geneve.ch/arbres/arbres-isoles-genevois/sequoiadendron/sequoia-geant,Carouge,1227,427.0,20071108.0,2499869.46,1114974.29
178878,13998,37435,201533,Conifères,Sequoiadendron,Séquoia,Séquoia,"Séquoia, Séquoia géant pleureur",197.0,15.0,35.0,,1,,Relevé,https://www.patrimoine-vert-geneve.ch/arbres/arbres-isoles-genevois/sequoiadendron/sequoia-geant,Troinex,1256,619.0,20071113.0,2500401.04,1113283.72
179312,13998,37435,201240,Conifères,Sequoiadendron,Séquoia,Séquoia,"Séquoia, Séquoia géant pleureur",178.0,15.0,30.5,,1,,Relevé,https://www.patrimoine-vert-geneve.ch/arbres/arbres-isoles-genevois/sequoiadendron/sequoia-geant,Troinex,1256,559.0,20071113.0,2500417.03,1113271.74
181861,13994,37421,305027,Conifères,Sequoia gigantea,Séquoia,Séquoia,Séquoia,55.0,4.0,14.0,,0,,Relevé,,Vandoeuvres,1253,173.0,20140828.0,2504346.62,1120175.16
181862,13994,37421,305028,Conifères,Sequoia gigantea,Séquoia,Séquoia,Séquoia,40.0,4.0,9.0,,0,,Relevé,,Vandoeuvres,1253,126.0,20140828.0,2504343.23,1120168.97
181863,13994,37421,305029,Conifères,Sequoia gigantea,Séquoia,Séquoia,Séquoia,40.0,4.0,12.0,,0,,Relevé,,Vandoeuvres,1253,126.0,20140828.0,2504349.28,1120166.6
192404,13993,37420,303326,Conifères,Sequoia,Séquoia,Séquoia,Séquoia,63.0,10.0,17.0,,0,,Relevé,pas de fiche,Vandoeuvres,1253,198.0,20140619.0,2504445.12,1120071.53
191167,13993,37420,303375,Conifères,Sequoia,Séquoia,Séquoia,Séquoia,40.0,7.0,17.0,,0,,Relevé,pas de fiche,Vandoeuvres,1253,126.0,20140619.0,2504533.44,1120187.63
191168,13993,37420,303376,Conifères,Sequoia,Séquoia,Séquoia,Séquoia,40.0,7.0,17.0,,0,,Relevé,pas de fiche,Vandoeuvres,1253,126.0,20140619.0,2504531.14,1120192.23
191169,13993,37420,303377,Conifères,Sequoia,Séquoia,Séquoia,Séquoia,54.0,7.0,18.0,,0,,Relevé,pas de fiche,Vandoeuvres,1253,170.0,20140619.0,2504527.72,1120190.17
193335,13993,37420,303536,Conifères,Sequoia,Séquoia,Séquoia,Séquoia,60.0,10.0,17.0,,0,,Relevé,pas de fiche,Vandoeuvres,1253,188.0,20140619.0,2504457.61,1120099.36
217879,13998,37435,351062,Conifères,Sequoiadendron,Séquoia,Séquoia,"Séquoia, Séquoia géant pleureur",,6.0,10.0,,0,,Relevé,https://www.patrimoine-vert-geneve.ch/arbres/arbres-isoles-genevois/sequoiadendron/sequoia-geant,Genève-Petit-Saconnex,1202,105.0,20240816.0,2500561.99,1119790.94
232580,13994,37421,388714,Conifères,Sequoia gigantea,Séquoia,Séquoia,Séquoia,,8.0,45.0,,1,,Relevé,,Genève-Eaux-Vives,1207,575.0,20240621.0,2501923.71,1118196.01
